action,landmark,plan_id,order,goal
open door to hallway,True,14,0,Your task is to boil ice cream
go to hallway,True,14,1,Your task is to boil ice cream
open door to kitchen,True,14,2,Your task is to boil ice cream
go to kitchen,True,14,3,Your task is to boil ice cream
pick up thermometer,True,14,4,Your task is to boil ice cream
open cupboard,True,14,5,Your task is to boil ice cream
pick up metal pot,True,14,6,Your task is to boil ice cream
open drawer in cupboard,False,14,7,Your task is to boil ice cream
open glass jar,False,14,8,Your task is to boil ice cream
open freezer,True,14,9,Your task is to boil ice cream
focus on ice cream,True,14,10,Your task is to boil ice cream
move ice cream to metal pot,True,14,11,Your task is to boil ice cream
pick up metal pot,True,14,12,Your task is to boil ice cream
move metal pot to stove,True,14,13,Your task is to boil ice cream
activate stove,True,14,14,Your task is to boil ice cream
examine ice cream,True,14,15,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,16,Your task is to boil ice cream
examine ice cream,True,14,17,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,18,Your task is to boil ice cream
examine ice cream,True,14,19,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,20,Your task is to boil ice cream
examine ice cream,True,14,21,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,22,Your task is to boil ice cream
examine ice cream,True,14,23,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,24,Your task is to boil ice cream
examine ice cream,True,14,25,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,26,Your task is to boil ice cream
examine ice cream,True,14,27,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,28,Your task is to boil ice cream
examine ice cream,True,14,29,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,30,Your task is to boil ice cream
examine ice cream,True,14,31,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,32,Your task is to boil ice cream
examine ice cream,True,14,33,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,34,Your task is to boil ice cream
examine ice cream,True,14,35,Your task is to boil ice cream
use thermometer in inventory on ice cream,True,14,36,Your task is to boil ice cream
examine ice cream,True,14,37,Your task is to boil ice cream
