action,landmark,variation,order,goal,task_id
open door to hallway,False,1,0,Your task is to grow a apple,task-4-grow-fruit
go to hallway,False,1,1,Your task is to grow a apple,task-4-grow-fruit
open door to kitchen,False,1,2,Your task is to grow a apple,task-4-grow-fruit
go to kitchen,False,1,3,Your task is to grow a apple,task-4-grow-fruit
pick up seed jar,True,1,4,Your task is to grow a apple,task-4-grow-fruit
open door to outside,False,1,5,Your task is to grow a apple,task-4-grow-fruit
go to outside,False,1,6,Your task is to grow a apple,task-4-grow-fruit
open door to green house,True,1,7,Your task is to grow a apple,task-4-grow-fruit
go to green house,True,1,8,Your task is to grow a apple,task-4-grow-fruit
move soil to flower pot 1,False,1,9,Your task is to grow a apple,task-4-grow-fruit
pick up shovel,False,1,10,Your task is to grow a apple,task-4-grow-fruit
open door to outside,False,1,11,Your task is to grow a apple,task-4-grow-fruit
go to outside,False,1,12,Your task is to grow a apple,task-4-grow-fruit
use shovel in inventory on ground,False,1,13,Your task is to grow a apple,task-4-grow-fruit
pick up soil,False,1,14,Your task is to grow a apple,task-4-grow-fruit
open door to green house,True,1,15,Your task is to grow a apple,task-4-grow-fruit
go to green house,True,1,16,Your task is to grow a apple,task-4-grow-fruit
move soil in inventory to flower pot 2,False,1,17,Your task is to grow a apple,task-4-grow-fruit
open door to outside,False,1,18,Your task is to grow a apple,task-4-grow-fruit
go to outside,False,1,19,Your task is to grow a apple,task-4-grow-fruit
use shovel in inventory on ground,False,1,20,Your task is to grow a apple,task-4-grow-fruit
pick up soil,False,1,21,Your task is to grow a apple,task-4-grow-fruit
open door to green house,True,1,22,Your task is to grow a apple,task-4-grow-fruit
go to green house,True,1,23,Your task is to grow a apple,task-4-grow-fruit
move soil in inventory to flower pot 3,False,1,24,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 1,True,1,25,Your task is to grow a apple,task-4-grow-fruit
0,True,1,26,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 2,True,1,27,Your task is to grow a apple,task-4-grow-fruit
0,True,1,28,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 3,True,1,29,Your task is to grow a apple,task-4-grow-fruit
0,True,1,30,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,1,31,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,32,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,1,33,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,34,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,1,35,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,36,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,1,37,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,1,38,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,39,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,40,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,41,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,42,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,43,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,1,44,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,45,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,1,46,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,47,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,1,48,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,49,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,1,50,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,1,51,Your task is to grow a apple,task-4-grow-fruit
close door to hallway,True,1,52,Your task is to grow a apple,task-4-grow-fruit
close door to outside,True,1,53,Your task is to grow a apple,task-4-grow-fruit
open bee hive,True,1,54,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,55,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,56,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,57,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,58,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,59,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,1,60,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,61,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,1,62,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,63,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,1,64,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,65,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,1,66,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,1,67,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,68,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,69,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,70,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,71,Your task is to grow a apple,task-4-grow-fruit
wait1,True,1,72,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,1,73,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,74,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,1,75,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,76,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,1,77,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,1,78,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,1,79,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,1,80,Your task is to grow a apple,task-4-grow-fruit
focus on apple on apple tree in the reproducing stage,False,1,81,Your task is to grow a apple,task-4-grow-fruit
0,True,1,82,Your task is to grow a apple,task-4-grow-fruit
