action,landmark,variation,order,goal,task_id
open door to kitchen,False,0,0,Your task is to grow a apple,task-4-grow-fruit
go to kitchen,False,0,1,Your task is to grow a apple,task-4-grow-fruit
pick up seed jar,True,0,2,Your task is to grow a apple,task-4-grow-fruit
open door to outside,False,0,3,Your task is to grow a apple,task-4-grow-fruit
go to outside,False,0,4,Your task is to grow a apple,task-4-grow-fruit
open door to green house,True,0,5,Your task is to grow a apple,task-4-grow-fruit
go to green house,True,0,6,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 3,True,0,7,Your task is to grow a apple,task-4-grow-fruit
0,True,0,8,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 2,True,0,9,Your task is to grow a apple,task-4-grow-fruit
0,True,0,10,Your task is to grow a apple,task-4-grow-fruit
move apple seed in seed jar to flower pot 1,True,0,11,Your task is to grow a apple,task-4-grow-fruit
0,True,0,12,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,0,13,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,14,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,0,15,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,16,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,0,17,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,18,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,0,19,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,0,20,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,21,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,22,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,23,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,24,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,25,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,0,26,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,27,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,0,28,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,29,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,0,30,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,31,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,0,32,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,0,33,Your task is to grow a apple,task-4-grow-fruit
close door to hallway,True,0,34,Your task is to grow a apple,task-4-grow-fruit
close door to outside,True,0,35,Your task is to grow a apple,task-4-grow-fruit
open bee hive,True,0,36,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,37,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,38,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,39,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,40,Your task is to grow a apple,task-4-grow-fruit
wait1,True,0,41,Your task is to grow a apple,task-4-grow-fruit
activate sink,True,0,42,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,43,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 3,True,0,44,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,45,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 2,True,0,46,Your task is to grow a apple,task-4-grow-fruit
move jug to sink,True,0,47,Your task is to grow a apple,task-4-grow-fruit
pour jug into flower pot 1,True,0,48,Your task is to grow a apple,task-4-grow-fruit
deactivate sink,True,0,49,Your task is to grow a apple,task-4-grow-fruit
focus on red apple,False,0,50,Your task is to grow a apple,task-4-grow-fruit
0,True,0,51,Your task is to grow a apple,task-4-grow-fruit
