num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps,drrn_model_file
0,50,0,225,True,0,17,17,False,0,12,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,226,True,0,17,17,False,0,13,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,227,True,0,17,17,False,0,14,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,228,True,0,25,25,False,0,15,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,229,True,0,25,25,False,0,16,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,230,True,0,25,25,False,0,17,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,231,True,0,25,25,False,0,18,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,232,True,0,25,25,False,0,19,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,233,True,0,25,25,False,0,20,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,234,True,0,17,17,False,0,21,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,235,True,0,25,25,False,0,22,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,236,True,0,17,17,False,0,23,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,237,True,0,17,17,False,0,24,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,238,True,0,17,17,False,0,25,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,239,True,0,25,25,False,0,26,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,240,True,0,17,17,False,0,27,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,241,True,0,17,17,False,0,28,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,242,True,0,17,17,False,0,29,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,243,True,0,25,25,False,0,30,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,244,True,0,17,17,False,0,31,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,245,True,0,25,25,False,0,32,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,246,True,0,17,17,False,0,33,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,247,True,0,17,17,False,0,34,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,248,True,0,17,17,False,0,35,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,249,True,0,17,17,False,0,36,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,250,True,0,17,17,False,0,37,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,251,True,0,17,17,False,0,38,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,252,True,0,17,17,False,0,39,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,253,True,0,17,17,False,0,40,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,254,True,0,17,17,False,0,41,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,255,True,0,8,8,False,0,41,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,256,True,0,17,17,False,0,41,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,257,True,0,17,17,False,0,41,0,119,models/models_task13/model-steps16000-eps119.pt
0,50,0,258,True,0,25,25,False,0,41,0,119,models/models_task13/model-steps16000-eps119.pt
