action,landmark,plan_id,order,goal
open door to hallway,False,1,0,Your task is to boil water
go to hallway,False,1,1,Your task is to boil water
open door to kitchen,True,1,2,Your task is to boil water
go to kitchen,True,1,3,Your task is to boil water
pick up thermometer,True,1,4,Your task is to boil water
open cupboard,True,1,5,Your task is to boil water
pick up metal pot,True,1,6,Your task is to boil water
move metal pot to sink,True,1,7,Your task is to boil water
activate sink,True,1,8,Your task is to boil water
deactivate sink,True,1,9,Your task is to boil water
pick up metal pot,True,1,10,Your task is to boil water
focus on substance in metal pot,True,1,11,Your task is to boil water
pour metal pot into metal pot,True,1,12,Your task is to boil water
pick up metal pot,True,1,13,Your task is to boil water
move metal pot to stove,True,1,14,Your task is to boil water
activate stove,True,1,15,Your task is to boil water
pick up metal pot,True,1,16,Your task is to boil water
open door to outside,False,1,17,Your task is to boil water
go to outside,False,1,18,Your task is to boil water
open door to foundry,False,1,19,Your task is to boil water
go to foundry,False,1,20,Your task is to boil water
open blast furnace,False,1,21,Your task is to boil water
move metal pot to blast furnace,False,1,22,Your task is to boil water
activate blast furnace,False,1,23,Your task is to boil water
examine substance in metal pot,True,1,24,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,1,25,Your task is to boil water
examine substance in metal pot,True,1,26,Your task is to boil water
